timestamp,segment,mode,tracking_mode,sample_rate,eyes_tracked,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil,status,left_raw_px,left_raw_py,left_raw_pa,left_raw_width,left_raw_height,left_raw_crx,left_raw_cry,left_raw_crarea,left_raw_cr2x,left_raw_cr2y,left_raw_cr2area,right_raw_px,right_raw_py,right_raw_pa,right_raw_width,right_raw_height,right_raw_crx,right_raw_cry,right_raw_crarea,right_raw_cr2x,right_raw_cr2y,right_raw_cr2area,left_href_x,left_href_y,right_href_x,right_href_y,cal_target_index
349581,1,RECORD,CR,500,LR,744.1,712.3,1425.0,659.7,489.7,1387.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349583,1,RECORD,CR,500,LR,743.8,711.8,1423.0,660.4,489.9,1385.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349585,1,RECORD,CR,500,LR,743.6,711.3,1421.0,660.7,490.3,1386.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349587,1,RECORD,CR,500,LR,744.6,710.5,1421.0,660.7,491.1,1385.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349589,1,RECORD,CR,500,LR,745.2,710.3,1422.0,660.5,491.9,1383.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349591,1,RECORD,CR,500,LR,745.4,710.4,1422.0,659.9,492.5,1382.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349593,1,RECORD,CR,500,LR,745.9,710.3,1422.0,659.7,492.6,1382.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349595,1,RECORD,CR,500,LR,746.0,711.4,1418.0,659.5,493.1,1384.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349597,1,RECORD,CR,500,LR,746.0,711.8,1418.0,659.6,492.9,1387.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349599,1,RECORD,CR,500,LR,746.4,710.7,1419.0,659.7,492.1,1384.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349601,1,RECORD,CR,500,LR,746.3,710.6,1419.0,659.8,490.6,1383.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349603,1,RECORD,CR,500,LR,746.0,710.8,1419.0,660.0,489.1,1382.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349605,1,RECORD,CR,500,LR,745.7,711.3,1421.0,660.2,488.7,1381.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349607,1,RECORD,CR,500,LR,745.4,711.6,1421.0,660.1,488.9,1383.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349609,1,RECORD,CR,500,LR,745.2,712.4,1418.0,659.8,490.7,1385.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349611,1,RECORD,CR,500,LR,745.0,712.6,1416.0,659.8,491.6,1386.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349613,1,RECORD,CR,500,LR,744.5,711.9,1412.0,660.0,491.6,1387.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349615,1,RECORD,CR,500,LR,744.2,711.4,1410.0,659.0,491.4,1387.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349617,1,RECORD,CR,500,LR,744.1,711.2,1410.0,658.7,490.1,1385.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
349619,1,RECORD,CR,500,LR,744.3,711.0,1410.0,658.6,489.5,1385.0,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,
