timestamp,segment,mode,tracking_mode,sample_rate,eyes_tracked,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil,status,left_raw_px,left_raw_py,left_raw_pa,left_raw_width,left_raw_height,left_raw_crx,left_raw_cry,left_raw_crarea,left_raw_cr2x,left_raw_cr2y,left_raw_cr2area,right_raw_px,right_raw_py,right_raw_pa,right_raw_width,right_raw_height,right_raw_crx,right_raw_cry,right_raw_crarea,right_raw_cr2x,right_raw_cr2y,right_raw_cr2area,left_href_x,left_href_y,right_href_x,right_href_y,cal_target_index
860571,1,RECORD,CR,500,L,752.1,712.9,1142.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860573,1,RECORD,CR,500,L,752.0,712.3,1142.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860575,1,RECORD,CR,500,L,751.6,711.4,1142.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860577,1,RECORD,CR,500,L,751.0,712.7,1141.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860579,1,RECORD,CR,500,L,751.2,713.6,1143.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860581,1,RECORD,CR,500,L,751.5,714.3,1144.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860583,1,RECORD,CR,500,L,750.7,715.4,1144.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860585,1,RECORD,CR,500,L,749.7,714.9,1143.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860587,1,RECORD,CR,500,L,749.0,714.3,1144.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860589,1,RECORD,CR,500,L,748.6,714.1,1144.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860591,1,RECORD,CR,500,L,748.6,714.5,1147.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860593,1,RECORD,CR,500,L,748.7,714.9,1148.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860595,1,RECORD,CR,500,L,748.5,715.1,1150.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860597,1,RECORD,CR,500,L,748.4,715.3,1153.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860599,1,RECORD,CR,500,L,749.1,715.6,1154.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860601,1,RECORD,CR,500,L,749.1,715.2,1155.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860603,1,RECORD,CR,500,L,749.2,714.9,1154.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860605,1,RECORD,CR,500,L,749.4,714.6,1152.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860607,1,RECORD,CR,500,L,749.4,714.7,1150.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860609,1,RECORD,CR,500,L,749.6,714.8,1150.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860611,1,RECORD,CR,500,L,749.5,714.5,1149.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860613,1,RECORD,CR,500,L,749.9,714.1,1147.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860615,1,RECORD,CR,500,L,749.9,714.1,1149.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860617,1,RECORD,CR,500,L,749.8,713.6,1149.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
